Name,total_timelines,total_keys,revisions
Algeria,11,81,7130
Andorra,11,91,2918
Angola,9,75,2069
Afghanistan,11,178,6309
Albania,5,70,1448
Azerbaijan,13,129,5759
Antigua_and_Barbuda,9,85,1567
Akkadian_Empire,2,41,465
Almoravid_dynasty,3,57,335
Ammon,1,31,33
Assyria,1,23,138
Aalen,1,24,30
Antigonid_dynasty,0,29,0
Latin_American_Integration_Association,1,28,18
Austria-Hungary,1,36,305
Durrani_Empire,7,71,648
Archbishopric_of_Riga,0,24,0
Belgium,9,94,2743
Brazil,8,91,3670
Bulgaria,7,90,3608
The_Bahamas,12,84,4164
Bangladesh,7,110,3572
Barbados,8,59,3078
Bassas_da_India,0,5,0
Belarus,8,118,1891
Belize,10,88,2910
Benin,11,81,1477
Bolivia,10,96,3573
Bosnia_and_Herzegovina,10,101,3102
Botswana,9,104,2306
Brunei,10,99,2386
Burkina_Faso,8,81,2159
Benelux,5,72,359
Prince-Bishopric_of_Brandenburg,0,29,0
British_Empire,0,5,0
Colombia,9,95,3327
Czech_Republic,8,102,3350
Czechoslovakia,1,50,137
Comoros,10,72,1280
China,10,88,8578
Cameroon,8,91,2261
Central_African_Republic,9,70,1474
Chad,9,82,1512
Chile,8,87,5374
Costa_Rica,8,70,2160
Croatia,10,93,4643
Cyprus,10,87,3981
History_of_the_Comoros,0,15,0
Central_America,2,18,335
Central_Powers,0,19,0
Confederate_States_of_America,3,46,1742
Cook_Islands,6,53,482
Commonwealth_of_England,0,9,0
Dominican_Republic,13,109,9200
Dahomey,0,24,0
England,4,66,921
European_Union,7,125,5309
Ecuador,10,89,5022
El_Salvador,9,88,4457
Equatorial_Guinea,5,87,1235
History_of_Equatorial_Guinea,0,23,0
History_of_Eritrea,0,12,0
Europa_Island,0,6,0
East_Berlin,0,17,0
European_Coal_and_Steel_Community,1,34,28
European_Economic_Community,1,35,65
European_Free_Trade_Association,4,48,213
Kingdom_of_Essex,0,26,0
East_Pakistan,0,27,0
Finland,8,86,4222
Fiji,7,82,2511
Federated_States_of_Micronesia,9,69,651
Germany,8,100,3423
Gabon,7,80,727
History_of_Gabon,0,17,0
Gaza_Strip,4,36,674
Ghana,9,76,4667
Glorioso_Islands,0,6,0
Greece,11,97,6329
Guinea,6,79,1207
History_of_Guinea,0,29,0
Guinea-Bissau,9,86,900
George_Mason_University,5,65,925
German_Empire,7,65,2262
East_Germany,3,63,532
Hungary,12,97,7093
Holy_Roman_Empire,7,120,2395
Hittites,0,29,0
Haiti,11,100,5413
Holy_See,7,33,724
Honduras,6,65,2271
Huns,0,12,0
Hanseatic_League,2,35,249
Second_Polish_Republic,3,47,185
Iceland,10,97,3104
Italy,7,99,4117
India,12,135,10436
Republic_of_Ireland,9,100,3609
Indonesia,9,86,6126
Iran,7,76,3330
International_Criminal_Court,2,23,357
Inca_Empire,3,44,1690
Japan,7,78,2543
Jamaica,9,83,3521
Khazars,2,29,673
Kazakhstan,6,78,1664
Kiribati,9,63,1555
History_of_Kyrgyzstan,3,18,71
Korea,2,35,496
Kalmar_Union,0,32,0
Kingdom_of_Jerusalem,1,25,68
Kerguelen_Islands,2,27,123
Kanem%E2%80%93Bornu_Empire,1,33,0
Kosovo,13,96,8309
Kingdom_of_Judah,1,32,118
Kingdom_of_Israel_(Samaria),1,30,60
Latvia,8,94,2191
Luxembourg,10,92,3292
Libya,9,79,5951
Lithuania,10,116,5041
Laos,9,74,2462
Lebanon,14,90,14321
Lesotho,5,69,631
Liberia,6,72,1522
Liechtenstein,10,71,2244
League_of_Nations,0,16,0
Madagascar,13,92,4680
Malawi,9,82,1936
Maldives,10,78,3796
Mali,10,84,2610
History_of_Mali,0,16,0
Malta,11,119,5302
Marshall_Islands,10,73,1219
Mauritius,11,82,4863
History_of_Mexico,0,43,0
Moldova,8,95,2844
Monaco,14,85,4790
Mongolia,10,86,2675
Morocco,11,136,3910
Mozambique,10,99,1991
Myanmar,10,84,5175
Merovingian_dynasty,0,20,0
Mainz,2,23,145
Montenegro,8,84,4677
Nazi_Germany,2,41,2233
Niue,8,82,895
Norway,9,132,3840
North_Korea,6,50,3585
Northern_Ireland,6,79,1042
Namibia,11,105,2053
Nauru,9,62,1308
History_of_Nauru,0,13,0
Netherlands_Antilles,4,32,538
Nicaragua,12,74,4203
Niger,10,81,1562
Nigeria,8,86,3418
Nevis,4,43,290
North_American_Free_Trade_Agreement,5,35,446
Ottoman_Empire,15,175,11266
