Name,total_timelines,total_keys,revisions
Marylebone_Cricket_Club,0,7,0
Australia_national_cricket_team,8,39,2436
Sri_Lanka_national_cricket_team,7,40,2009
India_national_cricket_team,7,43,3763
New_Zealand_national_cricket_team,7,55,2059
Northamptonshire_County_Cricket_Club,1,30,55
Tasmania_cricket_team,11,35,450
Warwickshire_County_Cricket_Club,0,27,0
Nottinghamshire_County_Cricket_Club,0,12,0
West_of_Scotland_Cricket_Club,0,10,0
Lancashire_County_Cricket_Club,0,29,0
England_cricket_team,8,40,3805
South_Africa_national_cricket_team,9,39,1297
Pakistan_national_cricket_team,12,78,5397
Zimbabwe_national_cricket_team,7,47,1169
Bangladesh_national_cricket_team,12,57,4481
Surrey_County_Cricket_Club,0,31,0
Middlesex_County_Cricket_Club,1,30,32
Yorkshire_County_Cricket_Club,0,13,0
Queensland_cricket_team,10,25,302
United_States_national_cricket_team,4,23,445
Kenya_national_cricket_team,6,38,329
Victoria_cricket_team,13,25,599
Worcestershire_County_Cricket_Club,0,21,0
Durham_County_Cricket_Club,1,30,66
Kent_County_Cricket_Club,2,16,251
South_Australia_cricket_team,5,27,173
New_South_Wales_cricket_team,12,26,536
Western_Australia_cricket_team,6,27,171
Mumbai_cricket_team,0,11,0
Somerset_County_Cricket_Club,1,33,102
Essex_County_Cricket_Club,0,12,0
Oxford_University_Cricket_Club,1,15,9
Cambridge_University_Cricket_Club,0,11,0
Leicestershire_County_Cricket_Club,0,28,0
Glamorgan_County_Cricket_Club,0,27,0
Gloucestershire_County_Cricket_Club,1,28,77
Sussex_County_Cricket_Club,0,27,0
Nepal_national_cricket_team,5,24,2467
Hong_Kong_national_cricket_team,6,25,307
Bermuda_national_cricket_team,7,39,308
Derbyshire_County_Cricket_Club,0,27,0
United_Arab_Emirates_national_cricket_team,6,24,850
Scotland_national_cricket_team,9,25,683
Canada_national_cricket_team,6,27,337
Uganda_national_cricket_team,3,20,183
Hampshire_County_Cricket_Club,1,32,77
Cambridgeshire_County_Cricket_Club,0,9,0
New_Zealand_women%27s_national_cricket_team,4,21,0
England_women%27s_cricket_team,5,23,0
Australia_women%27s_national_cricket_team,11,35,0
Netherlands_national_cricket_team,10,25,962
Ireland_cricket_team,11,49,1820
South_Africa_women%27s_national_cricket_team,8,32,0
India_women%27s_national_cricket_team,9,42,0
Norway_national_cricket_team,4,15,71
Afghanistan_national_cricket_team,12,59,2510
Tamil_Nadu_cricket_team,1,11,13
Hambledon_Club,0,8,0
London_Cricket_Club,0,7,0
England_Lions_cricket_team,0,20,0
Bangladesh_A_cricket_team,0,20,0
New_Zealand_A_cricket_team,0,7,0
Denmark_national_cricket_team,5,23,172
Australia_A_cricket_team,0,24,0
West_Indies_A_cricket_team,1,32,1
East_Africa_cricket_team,3,22,29
Italy_national_cricket_team,6,20,203
Cayman_Islands_national_cricket_team,5,19,117
Wales_national_cricket_team,1,12,8
Dartford_Cricket_Club,0,4,0
Oman_national_cricket_team,10,22,613
Barbados_national_cricket_team,0,9,0
Old_Hill_Cricket_Club,0,5,0
Phoenix_Cricket_Club,0,18,0
ACT_Comets,0,8,0
Papua_New_Guinea_national_cricket_team,8,24,559
Guyana_national_cricket_team,1,14,6
Leeward_Islands_cricket_team,1,19,13
Trinidad_and_Tobago_national_cricket_team,1,13,20
Windward_Islands_cricket_team,0,8,0
Prime_Minister%27s_XI,3,10,0
West_Indies_cricket_team,10,48,2159
Punjab_cricket_team_(India),0,10,0
Clydesdale_Cricket_Club,0,10,0
Central_Districts_cricket_team,0,13,0
West_Indies_women%27s_cricket_team,9,27,0
Northern_Districts_men%27s_cricket_team,0,10,0
Knights_(cricket_team),0,20,0
Dolphins_(cricket_team),0,30,0
Warriors_(cricket_team),0,20,0
Titans_(cricket_team),0,20,0
Imperial_Lions,0,19,0
Sindh_cricket_team,2,24,55
Norfolk_County_Cricket_Club,2,6,7
Devon_County_Cricket_Club,0,18,0
Bedfordshire_County_Cricket_Club,0,20,0
Suffolk_County_Cricket_Club,0,9,0
Northumberland_County_Cricket_Club,0,9,0
Cornwall_County_Cricket_Club,2,9,6
Berkshire_County_Cricket_Club,0,8,0
Wiltshire_County_Cricket_Club,0,11,0
Shropshire_County_Cricket_Club,1,9,0
Herefordshire_County_Cricket_Club,0,9,0
Cumbria_County_Cricket_Club,0,9,0
Buckinghamshire_County_Cricket_Club,0,19,0
Hertfordshire_County_Cricket_Club,0,9,0
Dorset_County_Cricket_Club,1,9,2
Staffordshire_County_Cricket_Club,0,13,0
Lincolnshire_County_Cricket_Club,0,9,0
Oxfordshire_County_Cricket_Club,0,20,0
Cheshire_County_Cricket_Club,0,9,0
Wales_National_County_Cricket_Club,0,20,0
Dhaka_Division_cricket_team,0,8,0
Delhi_cricket_team,0,11,0
Loughborough_MCC_University,0,16,0
Malaysia_national_cricket_team,2,17,114
Auckland_cricket_team,0,12,0
Canterbury_cricket_team,0,13,0
Bangladesh_national_under-19_cricket_team,2,18,204
New_Zealand_national_under-19_cricket_team,1,19,5
Uganda_national_under-19_cricket_team,2,15,29
Australia_national_under-19_cricket_team,1,20,8
West_Indies_under-19_cricket_team,1,20,14
South_Africa_national_under-19_cricket_team,2,23,8
United_States_national_under-19_cricket_team,0,19,0
India_national_under-19_cricket_team,9,23,429
Namibia_national_under-19_cricket_team,1,11,18
Scotland_national_under-19_cricket_team,1,23,19
Zimbabwe_national_under-19_cricket_team,0,20,0
England_under-19_cricket_team,0,8,0
Ireland_under-19_cricket_team,0,19,0
Pakistan_national_under-19_cricket_team,2,20,70
Durham_MCC_University,2,19,16
Railways_cricket_team,0,10,0
Baroda_cricket_team,0,10,0
Argentina_national_cricket_team,4,22,95
Cuba_national_cricket_team,3,15,19
Belgium_national_cricket_team,4,12,95
Bengal_cricket_team,1,15,46
Botswana_national_cricket_team,5,18,101
Fiji_national_cricket_team,3,17,61
France_national_cricket_team,3,13,64
Germany_national_cricket_team,3,13,145
Gibraltar_national_cricket_team,3,14,92
Israel_national_cricket_team,3,14,39
Japan_national_cricket_team,4,12,46
Kuwait_national_cricket_team,4,17,133
Uttar_Pradesh_cricket_team,0,12,0
Karnataka_cricket_team,0,12,0
Nigeria_national_cricket_team,4,21,174
Saurashtra_cricket_team,0,10,0
Gujarat_cricket_team,0,10,0
Hyderabad_cricket_team,1,11,26
Andhra_cricket_team,0,11,0
Assam_cricket_team,0,11,0
Goa_cricket_team,0,10,0
Jharkhand_cricket_team,1,10,26
Otago_cricket_team,0,10,0
Wellington_cricket_team,0,14,0
Austria_national_cricket_team,5,17,129
Singapore_national_cricket_team,2,16,166
Tanzania_national_cricket_team,3,12,120
Lisburn_Cricket_Club,0,20,0
Rhodesia_cricket_team,1,13,3
Haryana_cricket_team,0,9,0
Himachal_Pradesh_cricket_team,0,10,0
Madhya_Pradesh_cricket_team,0,20,0
Maharashtra_cricket_team,4,16,87
Odisha_cricket_team,1,13,17
Rajasthan_cricket_team,0,11,0
Services_cricket_team,0,10,0
Tripura_cricket_team,0,11,0
Vidarbha_cricket_team,0,10,0
Jammu_and_Kashmir_cricket_team,0,10,0
Kerala_cricket_team,0,22,0
Thailand_national_cricket_team,3,18,58
Zambia_national_cricket_team,2,12,27
Leinster_Cricket_Club,0,20,0
Uxbridge_Cricket_Club,0,7,0
Bahamas_national_cricket_team,5,18,51
Bahrain_national_cricket_team,5,19,158
Belize_national_cricket_team,5,18,111
Bhutan_national_cricket_team,5,18,71
Brazil_national_cricket_team,4,21,72
East_and_Central_Africa_cricket_team,1,13,7
Sheffield_Cricket_Club,0,8,0
Brunei_national_cricket_team,2,15,6
Chile_national_cricket_team,4,21,48
China_national_cricket_team,5,21,97
Cook_Islands_national_cricket_team,4,16,43
Indonesia_national_cricket_team,4,15,55
Costa_Rica_national_cricket_team,4,18,63
Croatia_national_cricket_team,4,19,37
Cyprus_national_cricket_team,6,16,131
Czech_Republic_national_cricket_team,6,14,155
Finland_national_cricket_team,4,15,82
Gambia_national_cricket_team,4,13,36
Ghana_national_cricket_team,6,20,141
Greece_national_cricket_team,5,14,50
Guernsey_cricket_team,5,12,124
Iran_national_cricket_team,4,12,38
Isle_of_Man_cricket_team,6,14,83
Jersey_cricket_team,4,20,233
Lesotho_national_cricket_team,5,14,60
Western_Province_cricket_team,1,19,3
Luxembourg_national_cricket_team,5,16,92
Malawi_national_cricket_team,5,16,97
Maldives_national_cricket_team,5,20,141
Mali_national_cricket_team,6,13,39
Malta_national_cricket_team,5,17,182
Mexico_national_cricket_team,6,21,113
Morocco_national_cricket_team,3,9,27
Mozambique_national_cricket_team,4,14,45
Myanmar_national_cricket_team,4,19,43
Panama_national_cricket_team,4,14,86
Philippines_national_cricket_team,6,16,181
Portugal_national_cricket_team,5,14,75
Rwanda_national_cricket_team,6,19,136
Qatar_national_cricket_team,5,21,173
Samoa_national_cricket_team,3,12,55
Saudi_Arabia_national_cricket_team,4,11,119
Sierra_Leone_national_cricket_team,5,15,72
Slovenia_national_cricket_team,5,14,28
South_Korea_national_cricket_team,5,14,99
Spain_national_cricket_team,4,14,137
Saint_Helena_national_cricket_team,6,13,51
Suriname_national_cricket_team,2,12,7
Sweden_national_cricket_team,5,16,100
Switzerland_national_cricket_team,3,15,50
Tonga_national_cricket_team,0,5,0
Turks_and_Caicos_Islands_national_cricket_team,3,14,11
Vanuatu_national_cricket_team,4,16,132
West_Africa_cricket_team,1,13,8
Ireland_women%27s_cricket_team,9,24,0
Netherlands_women%27s_national_cricket_team,6,27,0
Pakistan_women%27s_national_cricket_team,12,40,0
Sri_Lanka_women%27s_national_cricket_team,12,24,0
Bermuda_women%27s_national_cricket_team,3,14,0
Canada_women%27s_national_cricket_team,6,12,0
Denmark_women%27s_national_cricket_team,3,17,0
Japan_women%27s_national_cricket_team,4,17,0
Papua_New_Guinea_women%27s_national_cricket_team,7,15,0
Scotland_women%27s_national_cricket_team,4,21,0
China_women%27s_national_cricket_team,6,16,0
Wales_women%27s_national_cricket_team,1,7,0
International_XI_women%27s_cricket_team,1,9,0
Accrington_Cricket_Club,3,22,21
Burnley_Cricket_Club,0,41,0
Jamaica_women%27s_national_cricket_team,1,17,0
Trinidad_and_Tobago_women%27s_national_cricket_team,1,17,0
Young_England_women%27s_cricket_team,1,11,0
Hong_Kong_women%27s_national_cricket_team,3,10,0
Philadelphian_cricket_team,1,6,8
Sri_Lanka_Air_Force_Sports_Club_(cricket),0,20,0
Berkshire_county_cricket_teams,0,7,0
Hampshire_county_cricket_teams,0,7,0
Essex_county_cricket_teams,0,8,0
Alresford_Cricket_Club,0,8,0
Bihar_Cricket_Team,0,10,0
Kenya_women%27s_national_cricket_team,4,10,0
Tanzania_women%27s_national_cricket_team,3,11,0
Uganda_women%27s_national_cricket_team,3,12,0
Zimbabwe_women%27s_national_cricket_team,9,19,0
North_Down_Cricket_Club,0,20,0
Bulgaria_national_cricket_team,6,16,136
Estonia_national_cricket_team,5,13,73
Russia_national_cricket_team,3,9,13
Turkey_national_cricket_team,7,14,127
Cricket_in_Ukraine,1,9,7
Biman_Bangladesh_Airlines_cricket_team,0,8,0
Chittagong_Division_cricket_team,0,25,0
Singhalese_Sports_Club,2,36,12
Colombo_Cricket_Club,1,13,15
Sialkot_cricket_team,1,11,1
Dublin_University_Cricket_Club,0,20,0
East_Molesey_Cricket_Club,0,11,0
Malaysia_women%27s_national_cricket_team,4,12,0
Singapore_women%27s_national_cricket_team,3,10,0
Sydney_Cricket_Club,0,9,0
Nondescripts_Cricket_Club,2,34,13
Central_Hinds,0,10,0
Southern_Districts_Cricket_Club,1,12,0
North_Sydney_Cricket_Club,4,15,19
Nawanagar_cricket_team,0,10,0
Western_Australia_women%27s_cricket_team,0,10,0
Bloomfield_Cricket_and_Athletic_Club,1,24,7
Burgher_Recreation_Club,2,13,6
Moors_Sports_Club,0,34,0
Tamil_Union_Cricket_and_Athletic_Club,1,37,11
Colts_Cricket_Club,1,36,6
Pakistan_International_Airlines_cricket_team,1,9,1
Chilaw_Marians_Cricket_Club,1,12,30
Galle_Cricket_Club,0,10,0
Panadura_Sports_Club,3,12,13
Ragama_Cricket_Club,2,12,4
Sebastianites_Cricket_and_Athletic_Club,0,8,0
National_Bank_of_Pakistan_cricket_team,0,8,0
Faisalabad_cricket_team,0,11,0
United_Bank_Limited_cricket_team,1,9,19
Habib_Bank_Limited_cricket_team,1,9,11
Hawke%27s_Bay_cricket_team,0,9,0
Riverside_Cricket_Club_(Tasmania),0,7,0
The_Wednesday_Cricket_Club,0,8,0
Devonport_Cricket_Club,1,96,0
Bangladesh_women%27s_national_cricket_team,12,30,0
United_Arab_Emirates_women%27s_national_cricket_team,3,10,0
Nepal_women%27s_national_cricket_team,3,13,0
Thailand_women%27s_national_cricket_team,9,22,0
Argentina_women%27s_national_cricket_team,5,13,0
Cameroon_national_cricket_team,7,19,72
Falkland_Islands_national_cricket_team,3,17,12
Peru_national_cricket_team,4,21,47
Eswatini_national_cricket_team,6,15,95
KwaZulu-Natal_Inland_(cricket_team),1,13,0
Bury_Cricket_Club,4,21,149
Lowerhouse_Cricket_Club,0,40,0
Todmorden_Cricket_Club,1,60,8
Parsis_cricket_team,0,7,0
Hindus_cricket_team,0,8,0
Kalutara_Town_Club,0,20,0
St_Kilda_Cricket_Club,0,3,0
Africa_XI_cricket_team,3,12,3
New_Caledonia_national_cricket_team,1,10,4
New_Zealand_M%C4%81ori_cricket_team,1,15,0
Weston-super-Mare_Cricket_Club,0,8,0
Sandiacre_Town_Cricket_Club,1,8,11
Hyderabad_Heroes,1,10,63
Northern_Ireland_national_cricket_team,1,8,2
Chennai_Superstars,1,7,12
Mumbai_Champs,1,11,26
Royal_Bengal_Tigers_(sports_team),2,13,23
Delhi_Giants,1,11,21
Chandigarh_Lions,1,11,26
Saint_Vincent_and_the_Grenadines_national_cricket_team,0,9,0
Hornchurch_Cricket_Club,0,8,0
Sialkot_Stallions,9,10,152
Rawalpindi_Rams,2,8,94
Bath_Cricket_Club,9,8,28
Hadlow_Cricket_Club,0,8,0
New_South_Wales_Breakers,0,10,0
