Name,total_timelines,total_keys,revisions
Admiralty_(United_Kingdom),1,18,34
Canadian_Radio-television_and_Telecommunications_Commission,2,39,49
Cheka,0,27,0
Centers_for_Disease_Control_and_Prevention,2,23,141
California_Department_of_Transportation,4,33,39
DARPA,4,22,359
European_Environment_Agency,1,36,17
Federal_Reserve,2,33,184
Federal_Aviation_Administration,4,32,293
Food_and_Drug_Administration,4,22,888
GCHQ,3,28,177
Gestapo,1,27,437
KHAD,0,17,0
National_Transportation_Safety_Board,5,17,169
National_Institute_of_Standards_and_Technology,3,32,122
National_Security_Agency,3,56,1414
Office_of_Strategic_Services,0,27,0
Schutzstaffel,1,22,453
Strategic_Defense_Initiative,0,16,0
Stasi,3,32,272
United_States_Department_of_State,2,25,85
Joint_Intelligence_Committee_(United_Kingdom),1,13,7
Office_of_State_Protection,0,21,0
Australian_Security_Intelligence_Organisation,5,24,136
Australian_Secret_Intelligence_Service,1,33,14
Australian_Signals_Directorate,2,22,50
National_Oceanic_and_Atmospheric_Administration,6,36,279
Air_Ministry,1,18,9
United_States_Forest_Service,5,37,180
United_States_National_Security_Council,1,13,27
Executive_Office_of_the_President_of_the_United_States,2,17,185
Office_of_Management_and_Budget,2,13,66
United_States_Department_of_Labor,4,25,132
State_Council_of_the_People%27s_Republic_of_China,3,25,0
Sicherheitsdienst,0,31,0
National_Institutes_of_Health,3,22,172
Ames_Research_Center,0,22,0
"Brazoria_County,_Texas",2,7,33
Office_of_National_Assessments,1,15,6
United_States_Postal_Service,4,48,693
United_States_Post_Office_Department,0,16,0
United_States_Atomic_Energy_Commission,1,26,21
Defense_Information_Systems_Agency,0,16,0
United_States_Department_of_Justice,8,47,537
Ministry_of_Internal_Affairs_(Russia),3,22,83
United_States_Department_of_the_Treasury,2,20,92
Bureau_of_Land_Management,1,30,29
U.S._Securities_and_Exchange_Commission,3,18,152
Interstate_Commerce_Commission,0,22,0
Farm_Credit_Administration,0,30,0
Works_Progress_Administration,0,29,0
Federal_Housing_Administration,0,24,0
Office_of_Price_Administration,1,31,3
Federal_Communications_Commission,5,29,532
Federal_Energy_Regulatory_Commission,0,28,0
United_States_Census_Bureau,0,9,0
United_States_Department_of_Transportation,2,24,61
United_States_Department_of_Homeland_Security,3,24,375
United_States_Department_of_Health_and_Human_Services,5,24,266
Medicare_(Australia),1,34,15
United_States_Environmental_Protection_Agency,1,26,65
Meteorological_Service_of_Canada,0,12,0
"Foreign,_Commonwealth_and_Development_Office",2,17,88
Federal_Radio_Commission,0,11,0
Ballistic_Missile_Defense_Organization,0,17,0
United_States_Department_of_Energy,4,26,208
National_Register_of_Historic_Places,1,9,36
Civil_Service_(United_Kingdom),0,12,0
Canadian_Broadcasting_Corporation,6,32,949
United_States_Department_of_Commerce,6,25,241
Bureau_of_Industry_and_Security,3,22,23
National_Archives_and_Records_Administration,4,25,177
United_States_Department_of_Agriculture,2,23,241
United_States_Department_of_the_Interior,1,32,20
United_States_Department_of_Housing_and_Urban_Development,2,30,25
United_States_Department_of_Education,4,34,196
United_States_Department_of_Veterans_Affairs,3,18,127
Bureau_of_Labor_Statistics,5,20,64
Federal_Emergency_Management_Agency,4,18,212
United_States_Fish_and_Wildlife_Service,6,43,265
Government_of_Ghana,0,30,0
Direction_de_la_surveillance_du_territoire,1,21,17
"Liberty_County,_Texas",2,7,26
"Hinds_County,_Mississippi",1,99,20
Dicastery_for_the_Doctrine_of_the_Faith,0,17,0
MI5,2,28,102
Defense_Intelligence_Agency,2,20,360
NatureScot,2,36,33
Office_qu%C3%A9b%C3%A9cois_de_la_langue_fran%C3%A7aise,3,21,0
Marshall_Space_Flight_Center,3,29,43
"Beecher,_Michigan",3,58,27
Cadw,1,28,5
Rural_Utilities_Service,1,54,3
United_States_Agency_for_International_Development,4,28,388
Forestry_Commission,4,34,106
Army_Ballistic_Missile_Agency,0,15,0
National_Science_Foundation,3,28,113
Immigration_and_Naturalization_Service,1,31,35
State_Council_Information_Office,1,40,15
National_Park_Service,4,27,270
Cabinet_of_the_United_Kingdom,5,13,720
Project_Tiger,0,7,0
Civil_Contingencies_Secretariat,2,23,25
Federal_Deposit_Insurance_Corporation,5,20,337
Nuclear_Regulatory_Commission,2,18,57
Transportation_Security_Administration,1,19,72
Privy_Council_Office_(United_Kingdom),0,27,0
HM_Treasury,3,30,85
Independent_Television_Authority,0,6,0
Charity_Commission_for_England_and_Wales,3,36,42
Archives_New_Zealand,0,19,0
Federal_Trade_Commission,5,24,326
Department_of_Internal_Affairs,2,28,24
Guiana_Space_Centre,2,31,80
Statistics_Canada,3,19,64
National_Advisory_Committee_for_Aeronautics,0,17,0
Financial_Crimes_Enforcement_Network,3,19,41
Driver_and_Vehicle_Licensing_Agency,0,25,0
Joint_Chiefs_of_Staff,0,7,0
United_States_Information_Agency,0,15,0
Brazilian_Intelligence_Agency,2,23,16
Australian_Antarctic_Division,1,34,21
Government_Accountability_Office,3,23,81
State_Protection_Authority,0,20,0
Organisation_Todt,1,31,23
Ministry_of_Defence_(United_Kingdom),3,28,183
SAVAK,1,18,14
Office_of_the_United_States_Trade_Representative,1,13,42
National_Institute_of_General_Medical_Sciences,0,10,0
Overseas_Private_Investment_Corporation,2,13,28
Dicastery_for_the_Causes_of_Saints,0,18,0
Zemsky_Sobor,0,22,0
Central_Military_Commission_(China),0,22,0
Centers_for_Medicare_%26_Medicaid_Services,0,27,0
Health_Canada,2,19,45
Palestine_Post,0,13,0
Economics_and_Statistics_Administration,0,13,0
Bureau_of_Economic_Analysis,1,14,5
Economic_Development_Administration,0,12,0
International_Trade_Administration,3,16,26
Minority_Business_Development_Agency,4,11,19
National_Telecommunications_and_Information_Administration,3,19,40
United_States_Patent_and_Trademark_Office,4,39,82
National_Technical_Information_Service,3,37,24
Social_Security_Administration,2,17,29
National_Information_Service_(Brazil),0,10,0
National_Labor_Relations_Board,4,23,127
United_States_Public_Health_Service,1,25,82
Home_Office,3,38,114
Bureau_of_Engraving_and_Printing,2,15,36
United_States_Copyright_Office,0,17,0
Occupational_Safety_and_Health_Administration,2,13,99
Royal_Armouries,0,21,0
National_Public_Safety_Commission_(Japan),1,23,14
Ofwat,3,36,26
General_Intelligence_and_Security_Service,1,32,29
Office_of_Foreign_Assets_Control,3,22,46
Communications_Security_Establishment,1,26,18
Governor_of_Oklahoma,3,26,95
Central_Bureau_of_Investigation,4,30,214
National_Geospatial-Intelligence_Agency,6,45,250
Financial_Services_Authority_(United_Kingdom),1,17,44
Federal_Election_Commission,4,23,103
European_Union_Intellectual_Property_Office,0,33,0
Council_of_Economic_Advisers,1,9,54
Department_for_International_Development,1,26,105
Job_Corps,0,20,0
Ministry_for_Europe_and_Foreign_Affairs_(France),0,5,0
Agricultural_Research_Service,2,18,42
Canada_Council,0,14,0
National_Hurricane_Center,0,14,0
Naval_Intelligence_Division_(United_Kingdom),0,19,0
Global_Affairs_Canada,5,28,107
Cajal_Institute,0,11,0
CityRail,3,28,298
Department_of_Finance_Canada,2,23,16
GRU_(Russian_Federation),1,26,81
White_Guard_(Finland),0,28,0
OVRA,0,20,0
Ministry_of_Public_Security_(China),0,21,0
Environment_and_Climate_Change_Canada,2,16,59
War_Office,0,27,0
National_Research_Council_Canada,0,16,0
Department_of_Environment_and_Conservation_(Western_Australia),3,11,26
National_Endowment_for_the_Arts,3,18,88
National_Institute_of_Justice,0,20,0
National_Weather_Service,3,32,118
Canadian_Hurricane_Centre,0,14,0
CSIRO,2,25,106
United_States_Government_Publishing_Office,2,28,18
Qualifications_and_Curriculum_Development_Agency,1,30,3
Generalitat_de_Catalunya,3,20,123
Sigurimi,0,16,0
SHISH,0,16,0
SHIK,0,16,0
Cabinet_Office,5,33,255
Department_for_Constitutional_Affairs,1,6,37
Department_for_Education_and_Skills_(United_Kingdom),1,9,28
"Department_for_Environment,_Food_and_Rural_Affairs",1,27,35
Ofsted,5,15,126
National_Languages_Committee,1,14,3
Romanian_Intelligence_Service,1,26,6
Department_of_Trade_and_Industry_(United_Kingdom),2,18,29
United_States_Secretary_of_the_Air_Force,1,23,36
Substance_Abuse_and_Mental_Health_Services_Administration,1,19,6
Hellenic_Statistical_Authority,1,17,2
Orange_County_Transportation_Authority,1,30,36
Waitangi_Tribunal,0,30,0
Welsh_Office,0,26,0
Met_Office,3,24,97
Agency_for_Toxic_Substances_and_Disease_Registry,3,50,44
French_Alternative_Energies_and_Atomic_Energy_Commission,2,26,20
Canadian_Security_Intelligence_Service,1,27,94
Office_for_National_Statistics,2,31,54
Palestinian_Central_Bureau_of_Statistics,0,4,0
Canadian_Space_Agency,3,23,105
Physikalisch-Technische_Bundesanstalt,2,12,21
Armstrong_Flight_Research_Center,0,18,0
Goddard_Space_Flight_Center,2,32,62
Langley_Research_Center,3,27,56
China_National_Space_Administration,2,15,105
Board_of_Governors_of_the_United_States_Postal_Service,0,12,0
TransLink_(British_Columbia),4,33,313
Secretary_of_State_for_the_Environment,0,7,0
"Secretary_of_State_for_the_Environment,_Transport_and_the_Regions",0,9,0
United_States_Mint,1,17,53
Economic_Stabilization_Act_of_1970,0,10,0
Health_and_Safety_Executive,0,19,0
European_Court_of_Auditors,1,23,12
SMERSH,1,20,33
Elections_Canada,3,24,10
Department_of_Conservation_(New_Zealand),2,21,17
Te_Uru_R%C4%81kau,0,18,0
Swedish_Security_Service,4,25,41
Glenn_Research_Center,0,21,0
Congressional_Research_Service,3,15,89
Election_Authority_(Sweden),0,30,0
Alcohol_and_Tobacco_Tax_and_Trade_Bureau,1,18,14
"Department_for_Culture,_Media_and_Sport",1,31,49
