0: {'dictionary_item_removed': {"root['name']": 'Henry Bessemer', "root['known_for']": 'Development of the Bessemer process for the manufacture of steel.', "root['occupation']": 'engineer and inventor '}}
80: {'dictionary_item_removed': {"root['publisher']": 'J. Wiley & sons, inc.', "root['page']": '130', "root['pages']": '218–219    James Nasmyth had been working on a similar idea for some time prior to this. A reluctant patentor, and in this instance still working through some problems in his method, Nasmyth abandoned the project after hearing Bessemer at the meeting. Bessemer acknowledged the efforts of Nasmyth by offering him a one-third share of the value of his patent. Nasmyth turned it down as he was about to retire.', "root['isbn']": '0-901462-49-7   Mr Göransson, a Swedish ironmaster, using the purer charcoal pig iron of that country, was the first to make good steel by the process, but only after many attempts. His results prompted Bessemer to try a purer iron obtained from Cumberland hematite, but even with this he had only limited success because the quantity of carbon was difficult to control. Robert Forester Mushet, had carried out thousands of experiments at Darkhill Ironworks, in the Forest of Dean, and had shown that the quantity of carbon could be controlled by removing almost all of it from the iron and then adding an exact amount of carbon and manganese, in the form of spiegeleisen. This improved the quality of the finished product and increased its malleability. DNB Cite', "root['date']": 'Birth date', "root['NAME']": 'Bessemer, Henry |ALTERNATIVE'}, 'values_changed': {"root['occupation']": {'new_value': 'engineer and inventor ', 'old_value': 'r model.  He became a member of the French Academy of Science,   for his improvements to the optical microscope when he was 26.  He was forced to leave Paris by the French Revolution, and returned to Britain.  There he invented a process for making gold chains, which was successful, and enabled him to buy a small estate in the village of Charlton, Hertfordshire'}}}
82: {'dictionary_item_added': {"root['publisher']": 'J. Wiley & sons, inc.', "root['page']": '130', "root['pages']": '218–219    James Nasmyth had been working on a similar idea for some time prior to this. A reluctant patentor, and in this instance still working through some problems in his method, Nasmyth abandoned the project after hearing Bessemer at the meeting. Bessemer acknowledged the efforts of Nasmyth by offering him a one-third share of the value of his patent. Nasmyth turned it down as he was about to retire.', "root['isbn']": '0-901462-49-7   Mr Göransson, a Swedish ironmaster, using the purer charcoal pig iron of that country, was the first to make good steel by the process, but only after many attempts. His results prompted Bessemer to try a purer iron obtained from Cumberland hematite, but even with this he had only limited success because the quantity of carbon was difficult to control. Robert Forester Mushet, had carried out thousands of experiments at Darkhill Ironworks, in the Forest of Dean, and had shown that the quantity of carbon could be controlled by removing almost all of it from the iron and then adding an exact amount of carbon and manganese, in the form of spiegeleisen. This improved the quality of the finished product and increased its malleability. DNB Cite', "root['date']": 'Birth date', "root['NAME']": 'Bessemer, Henry |ALTERNATIVE'}, 'values_changed': {"root['occupation']": {'new_value': 'r model.  He became a member of the French Academy of Science,   for his improvements to the optical microscope when he was 26.  He was forced to leave Paris by the French Revolution, and returned to Britain.  There he invented a process for making gold chains, which was successful, and enabled him to buy a small estate in the village of Charlton, Hertfordshire', 'old_value': 'engineer and inventor '}}}
88: {'values_changed': {"root['name']": {'new_value': 'Henry Bessemer', 'old_value': 'Henry Bessemerhihihihihhhihihhihh'}}}
89: {'values_changed': {"root['name']": {'new_value': 'Henry Bessemerhihihihihhhihihhihh', 'old_value': 'Henry Bessemer'}}}
100: {'dictionary_item_removed': {"root['awards']": 'Albert Medal (Royal Society of Arts)'}}
111: {'values_changed': {"root['known_for']": {'new_value': 'Development of the Bessemer process for the manufacture of steel.', 'old_value': 'Development of the Bessemer process for the manufacture of iron.'}}}
113: {'values_changed': {"root['known_for']": {'new_value': 'Development of the Bessemer process for the manufacture of iron.', 'old_value': 'Development of the Bessemer process for the manufacture of steel.'}}}
115: {'values_changed': {"root['known_for']": {'new_value': 'Development of the Bessemer process for the manufacture of steel.', 'old_value': 'Development of the Bessemer process for the manufacture of iron.'}}}
116: {'values_changed': {"root['known_for']": {'new_value': 'Development of the Bessemer process for the manufacture of iron.', 'old_value': 'Development of the Bessemer process for the manufacture of steel.'}}}
119: {'values_changed': {"root['name']": {'new_value': 'Henry Bessemer', 'old_value': 'BIG JACKASS'}}}
120: {'values_changed': {"root['name']": {'new_value': 'BIG JACKASS', 'old_value': 'Henry Bessemer'}}}
135: {'values_changed': {"root['name']": {'new_value': 'Henry Bessemer', 'old_value': 'Henry Bessemer baboon butt'}}}
136: {'values_changed': {"root['name']": {'new_value': 'Henry Bessemer baboon butt', 'old_value': 'Henry Bessemer'}}}
143: {'values_changed': {"root['occupation']": {'new_value': 'engineer and inventor ', 'old_value': 'engineer and inventor and pizza eater '}}}
144: {'values_changed': {"root['occupation']": {'new_value': 'engineer and inventor and pizza eater ', 'old_value': 'engineer and inventor '}}}
160: {'values_changed': {"root['name']": {'new_value': 'Henry Bessemer', 'old_value': 'Henry Bassemer'}}}
161: {'dictionary_item_added': {"root['known_for']": 'Development of the Bessemer process for the manufacture of steel.', "root['awards']": 'Albert Medal (Royal Society of Arts)', "root['occupation']": 'engineer and inventor '}, 'values_changed': {"root['name']": {'new_value': 'Henry Bassemer', 'old_value': 'ssemer'}}}
162: {'values_changed': {"root['name']": {'new_value': 'ssemer', 'old_value': 'Ruskin smells'}}}
163: {'values_changed': {"root['name']": {'new_value': 'Ruskin smells', 'old_value': 'ssemer'}}}
164: {'dictionary_item_removed': {"root['known_for']": 'Development of the Bessemer process for the manufacture of steel.', "root['awards']": 'Albert Medal (Royal Society of Arts)', "root['occupation']": 'engineer and inventor '}, 'values_changed': {"root['name']": {'new_value': 'ssemer', 'old_value': 'Henry Bessemer'}}}
165: {'values_changed': {"root['name']": {'new_value': 'Henry Bessemer', 'old_value': 'Henry Bessemers'}}}
167: {'values_changed': {"root['name']": {'new_value': 'Henry Bessemers', 'old_value': 'Henry Bessemer'}}}
168: {'values_changed': {"root['name']": {'new_value': 'Henry Bessemer', 'old_value': 'Henry Bessemers'}}}
169: {'values_changed': {"root['name']": {'new_value': 'Henry Bessemers', 'old_value': 'Henry Bessemer'}}}
