Name,total_timelines,total_keys,revisions
Anton_Drexler,0,16,0
Robert_Livingston_the_Younger,0,14,0
Sisavang_Vatthana,0,31,0
Jean-Baptiste_Drouet_(revolutionary),0,15,0
Baltzar_von_Platen_(1766%E2%80%931829),0,26,0
Egon_Krenz,3,34,124
Walter_Jenkins,0,18,0
Nexhmije_Hoxha,1,34,71
Frederick_Cope,0,14,0
William_Templeton_(Canadian_politician),0,13,0
Jeb_Stuart_Magruder,1,9,42
Ahmed_Urabi,0,28,0
Otto_Grotewohl,0,23,0
Ragnar_Skancke,0,27,0
Oliver_Winchester,0,19,0
Michael_Durant,1,17,17
Robert_F._Orr,1,16,7
Anitra_Steen,2,22,15
Ed_Clark,0,18,0
Jack_Ryan_(politician),1,8,116
Kazi_Nazrul_Islam,2,89,363
Burke_Marshall,0,22,0
Lars_Engqvist,0,18,0
Mohammad_Khiabani,0,13,0
D._G._Anderson,0,7,0
Gaius_Antonius_Hybrida,0,13,0
Dieter_Althaus,3,23,64
Herbert_Titus,1,14,19
Jack_Barnes,0,15,0
Hassan_Khaled,0,7,0
Lyn_Nofziger,1,15,46
Augustus_Garrett,1,40,10
Joe_Robbie,0,10,0
Azam_Tariq_(religious_leader),0,28,0
Philip_Becker,1,26,9
Daniel_Webster_Marsh,0,10,0
Paul_Henri_Balluet_d%27Estournelles_de_Constant,0,11,0
Khalid_bin_Sultan_Al_Saud,4,21,138
Jean-Baptiste-Louis_Gros,0,14,0
Clark_Ervin,0,15,0
Oleksandr_Moroz,4,56,96
Michel_Gbezera-Bria,0,9,0
Henry_Winter_Davis,0,17,0
Alejandro_Cercas,2,21,13
Farhang_Mehr,1,56,29
Zephaniah_Platt,0,13,0
Bertel_Haarder,9,14,115
L%C3%AA_H%E1%BB%93ng_Anh,3,13,0
James_Stuart_Mackie,2,19,5
Kenneth_McClintock,5,11,320
Philip_Claeys,1,19,4
Aleksander_Stanis%C5%82aw_Potocki,0,22,0
Paul_R%C3%BCbig,1,17,0
Rainbow_George_Weiss,1,12,41
Shah_Nawaz_Bhutto,2,21,32
Joey_Gilbert,0,21,0
Lucien_Saulnier,0,13,0
Tony_O%27Donohue,1,8,0
Faz%C4%B1l_K%C3%BC%C3%A7%C3%BCk,0,29,0
Thomas_Underwood,0,8,0
John_G._Nichols,0,32,0
John_Emerson_(politician),0,11,0
Eric_Li,1,16,3
Alain_Vivien,0,25,0
Filemon_Lagman,0,42,0
John_Ferraro,0,21,0
Samuel_R._Buxton,0,10,0
Mutaib_bin_Abdullah_Al_Saud,4,16,116
Veerendra_Heggade,1,19,25
Aksel_Larsen,0,18,0
Gon%C3%A7alo_Ribeiro_Telles,2,25,0
Clara_Ant,1,26,1
John_Reck,0,24,0
Eddie_Fullerton,0,18,0
Edwin_Jaeckle,0,13,0
Aaron_S._Watkins,0,8,0
Tibor_Szamuely,0,16,0
John_E._McGeehan,0,22,0
Virginio_Rognoni,3,17,29
Bekki_Cook,0,20,0
Carlos_de_Campos,0,25,0
Christian_Schwarz-Schilling,2,19,67
A._M._Azahari,0,14,0
Maria_Elena_Lagomasino,0,6,0
Mikhail_Musatov,1,16,8
Lawrence_Washington_(1718%E2%80%931752),0,10,0
William_Heseltine,0,19,0
Murugappa_Channaveerappa_Modi,0,6,0
