Name,total_timelines,total_keys,revisions
American_Football_Conference,1,11,50
American_Football_League,0,12,0
Ivy_League,2,23,705
Italian_Football_League,2,24,43
National_Football_League,5,39,1190
National_Hockey_League,5,39,2300
National_Basketball_Association,3,26,310
World_Series_of_Poker,2,29,169
XFL_(2001),2,12,132
North_Coast_Athletic_Conference,0,16,0
European_Men%27s_Handball_Championship,0,8,0
Major_League_Baseball,8,93,3486
Elfstedentocht,0,14,0
Canadian_Football_League,5,25,964
Women%27s_National_Basketball_Association,1,21,0
Arena_Football_League,5,20,910
AF2,1,20,130
Atlantic_League_of_Professional_Baseball,3,15,139
National_League_(baseball),2,24,174
American_League,0,12,0
Western_Baseball_League,0,11,0
World_Football_League,0,10,0
United_States_Football_League,0,9,0
Canadian_Baseball_League,0,18,0
Central_Baseball_League,1,8,10
Frontier_League,2,14,67
"Northern_League_(baseball,_1993%E2%80%932010)",1,13,0
Southeastern_League,0,37,0
Pacific_Coast_League,1,17,42
Eastern_League_(1938%E2%80%93present),1,18,0
Southern_League_(1964%E2%80%93present),1,17,0
Texas_League,1,16,25
California_League,3,16,84
Carolina_League,3,16,91
Florida_State_League,3,15,80
Midwest_League,3,17,92
South_Atlantic_League,3,15,92
New_York%E2%80%93Penn_League,2,13,0
Northwest_League,3,18,103
Appalachian_League,4,12,109
Pioneer_League_(baseball),2,17,47
Arizona_Complex_League,2,14,22
Florida_Complex_League,2,13,47
Arizona_Fall_League,1,8,16
American_Basketball_Association,0,11,0
All-America_Football_Conference,0,10,0
Atlantic_Coast_Conference,4,23,1090
Big_East_Conference_(1979%E2%80%932013),1,21,0
Big_Ten_Conference,1,20,424
Big_12_Conference,2,23,325
Conference_USA,6,27,610
Mid-American_Conference,1,20,60
Mountain_West_Conference,1,20,43
Pac-12_Conference,2,21,492
Sun_Belt_Conference,3,20,658
Southeastern_Conference,3,26,1342
Western_Athletic_Conference,2,20,317
NCAA_Division_I_FBS_independent_schools,1,18,16
Big_Sky_Conference,1,20,155
Southwestern_Athletic_Conference,1,19,97
Pioneer_Football_League,0,20,0
Atlantic_10_Conference,0,20,0
Missouri_Valley_Football_Conference,4,25,115
Ohio_Valley_Conference,1,21,44
Mid-Eastern_Athletic_Conference,2,22,185
Patriot_League,1,21,23
Southern_Conference,2,21,108
Metro_Atlantic_Athletic_Conference,1,21,33
Northeast_Conference,1,20,35
Big_South_Conference,1,20,12
Great_Northwest_Athletic_Conference,1,19,17
Central_Intercollegiate_Athletic_Association,2,20,43
Gulf_South_Conference,1,19,87
Lone_Star_Conference,2,19,83
Mid-America_Intercollegiate_Athletics_Association,1,20,68
North_Central_Conference,1,16,9
Northern_Sun_Intercollegiate_Conference,2,18,80
Pennsylvania_State_Athletic_Conference,0,19,0
Rocky_Mountain_Athletic_Conference,1,20,19
South_Atlantic_Conference,1,17,11
Southern_Intercollegiate_Athletic_Conference,1,20,57
West_Virginia_Intercollegiate_Athletic_Conference,1,16,29
National_Lacrosse_League,2,17,124
Nippon_Professional_Baseball,3,20,120
European_Women%27s_Handball_Championship,1,8,0
NFL_Europe,4,19,320
America%27s_Cup,0,9,0
LPGA,6,39,634
Caribbean_Series,1,29,19
World_Rugby_Sevens_Series,2,18,164
Hong_Kong_Sevens,2,15,40
American_Hockey_League,2,17,301
National_Football_Conference,1,11,48
X_Games,3,25,437
Professional_Golfers%27_Association_of_America,0,25,0
Ontario_Hockey_League,2,16,75
Canadian_Hockey_League,0,11,0
Western_Hockey_League,2,13,44
Quebec_Major_Junior_Hockey_League,1,15,15
Ice_Hockey_World_Championships,1,12,108
