Name,total_timelines,total_keys,revisions
Arizona_State_University,6,50,1037
Crandall_University,2,36,38
Acadia_University,7,44,343
Brown_University,4,60,763
Barnard_College,2,38,148
Bob_Jones_University,4,82,330
Chalmers_University_of_Technology,3,26,105
California_Institute_of_Technology,5,52,551
Columbia_University,7,64,3133
City_University_of_New_York,3,37,201
Drexel_University,7,59,943
Dartmouth_College,8,50,1373
Dalhousie_University,4,58,248
Eindhoven_University_of_Technology,7,46,354
University_of_Gothenburg,2,29,87
George_Mason_University,5,65,925
Geneva_College,2,56,29
Grinnell_College,5,41,339
Harvey_Mudd_College,6,32,211
Hunter_College,3,47,144
Iowa_State_University,4,50,468
IIT_Kanpur,4,31,234
Ithaca_College,3,32,154
James_Madison_University,5,44,464
Jadavpur_University,4,40,278
Kansas_State_University,5,45,279
KAIST,1,37,53
Kent_State_University,8,44,1146
Lund_University,4,45,280
Massachusetts_Institute_of_Technology,5,53,1214
Millsaps_College,4,34,146
Macquarie_University,4,36,181
Mount_Saint_Vincent_University,3,40,62
Northern_Michigan_University,3,28,116
National_War_College,1,73,8
BI_Norwegian_Business_School,0,22,0
Ohio_State_University,5,50,844
Oberlin_College,6,35,844
Occidental_College,5,50,277
Purdue_University,5,51,723
Princeton_University,4,53,853
Reed_College,3,41,120
KTH_Royal_Institute_of_Technology,1,26,55
Rice_University,8,53,980
Stanford_University,6,78,2409
Stockholm_School_of_Economics,2,28,97
Stockholm_University,2,29,48
St._John_Fisher_University,2,23,15
Simon_Fraser_University,4,48,242
Seattle_University,3,45,106
Seattle_Colleges_District,3,32,58
Syracuse_University,5,42,540
Texas_A%26M_University,6,74,0
University_of_Michigan,8,71,4527
University_of_Washington,6,55,758
University_of_Pennsylvania,7,80,4316
University_of_Oxford,9,59,2452
Ume%C3%A5_University,3,21,0
University_of_Bergen,1,15,37
University_of_Oslo,3,24,77
Uppsala_University,2,37,80
United_Nations_University,3,49,37
University_of_Rochester,6,58,649
"University_of_California,_San_Francisco",6,52,525
University_of_California,4,38,576
"University_of_California,_Berkeley",6,69,2338
"University_of_California,_Santa_Cruz",6,53,498
"University_of_California,_Davis",9,71,1038
"University_of_California,_San_Diego",9,62,1326
University_of_Sydney,5,39,827
University_of_Southern_California,7,60,1394
University_of_Arizona,10,60,1547
